SiteCode,Site Name,NoofCells,(2G/3G),Priority,Type,Category,MBU#,OMO Colocation,OMO host name ,,2026-01-01 00:00:00,2026-02-01 00:00:00,2026-03-01 00:00:00,2026-04-01 00:00:00,2026-05-01 00:00:00,2026-06-01 00:00:00,2026-07-01 00:00:00
GJR6249,GJR6249__S_Mughal_Colony_MDGU4251,9,2G/3G/LTE,Diamond,Macro,Standby,C4-GRT-04,DEODAR,DEODAR,DG site,98.6835631554492,99.98208774250439,99.91873257666268,99.42674039780503,99.61697696800739,99.4619984567901,99.76069875879462
DIL2202,DIL2202__S_Rolia,9,2G/3G/LTE,Platinum,Macro,Standby,C4-GRT-04,Jazz Host/CM-PAK Guest,DEODAR,DG site,98.00685317934395,99.91278108465598,99.62348997743263,99.37152777777769,99.52824240010617,100,98.85420815080299
HWY9504,HWY9504__S_Jandiala_Dhabwala_Near_Gakhar_15251,20,2G/3G/LTE,Platinum,Macro,Standby,C4-WZD-07,JAZZ,DEODAR,DG site,97.05995183691735,99.70862268518508,99.90872349163672,97.5943962191357,99.02780577956983,97.04459876543193,91.94516315710844
SOH6444,SOH6444__S_Sohdra,6,2G/LTE,Gold,Macro,B2S,C4-WZD-07,E.Co,E.CO,Non DG Site,98.74206615890074,98.90187527557315,99.54347744922339,99.9614197530864,99.87249850657102,97.16521990740729,97.26140139635584
RUR1236,RUR1236__S_SHAHBAZPUR _Ufone_3663,6,2G/LTE,Gold,Macro,OMO,C4-GRT-04,Jazz Guest/UFONE Host,UFONE,Non DG Site,97.79056526284349,99.98491236772483,100,99.52961033950609,100,99.97791280864197,99.36118578255675
RUR8759,RUR8759__S_Matwanwala,4,2G/LTE,Gold,Macro,Standby,C4-MBD-08,JAZZ,DEODAR,DG site,99.13945825866165,99.98837425595237,99.60792824074075,98.64091435185173,98.82443809737146,99.57089120370367,99.20652255077647
RUR0528,RUR0528__S_Gunja,6,2G/LTE,Bronze,Macro,OMO,C4-GRT-04,Jazz Guest/UFONE Host,UFONE,Non DG Site,98.89778723616081,99.48257688492052,99.38638739545998,98.92669753086417,99.76590501792109,100,99.94016950418158
RUR5645,RUR5645__S_QilaSuraSingh_CMPak41244,6,2G/LTE,Bronze,Macro,OMO,C4-GRT-04,Jazz Guest/CM-PAK Host,CM-PAK ,Non DG Site,100,99.98842592592588,100,100,98.4742756869773,99.99983924897116,98.30548710673033
RUR8835,RUR8835__S_VillageJattanWali,6,2G/LTE,Diamond,Macro,Standby,C4-HFZ-06,Jazz Host/TELENOR Guest,DEODAR,DG site,99.84636350059732,99.97736855158728,100,99.47231867283948,99.64540397252087,100,99.93587589605733
RUR5489,RUR5489__S_Dhaunkal_CMPak7703,6,2G/LTE,Diamond,Macro,OMO,C4-WZD-07,Jazz Guest/CM-PAK Host,CM-PAK ,Non DG Site,98.0105037833532,97.98604221781292,99.41218015730774,99.24951774691353,98.71207312823566,98.50524048353896,97.81782034050167
RUR3202,RUR3202__S_Mirakpur,6,2G/LTE,Diamond,Macro,Standby,C4-NRW-05,JAZZ,DEODAR,DG site,98.91735737753868,99.26056823192229,99.55797615491832,96.98048482510278,99.71453728594182,96.95942644032901,96.8885653126242
SRW9971,SRW9971__S_MozqKhussar,6,2G/LTE,Diamond,Macro,Standby,C4-WZD-07,JAZZ,DEODAR,DG site,97.93066756272391,99.98790922619047,100,99.95775462962959,99.97255824372755,94.01929012345657,98.5666816009557
RUR8314,RUR8314__S_DomalaTown_Warid_MR525366,6,2G/LTE,Diamond,Macro,CP Prime,C4-NRW-05,JAZZ,DEODAR,Non DG Site,98.99706914575857,99.9823288690476,99.2215501792114,98.63406635802448,99.82249975109517,98.47984182098755,99.34603370171239
RUR5641,RUR5641__S_KotlaSarangKhan_CMPak7488,6,2G/LTE,Gold,Macro,OMO,C4-GRT-04,Jazz Guest/CM-PAK Host,CM-PAK ,Non DG Site,89.78587962962925,96.97213955026434,91.95150711867748,81.0425668724276,90.21436927518884,94.57635673868279,86.26602324770968
RUR0527,RUR0527__S_Jheranwala,6,2G/LTE,Gold,Macro,OMO,C4-GRT-04,Jazz Guest/UFONE Host,UFONE,Non DG Site,99.78821311230584,99.97695519179892,100,99.9981674382716,96.96059214456388,100,99.88789949223414
RUR4508,RUR4508__S_DharowalKangWZB,8,2G/LTE,Diamond,Macro,Standby,C4-WZD-07,JAZZ,DEODAR,DG site,99.60879162933094,99.98788339120368,99.51325884856627,99.00766782407403,100,99.16056616512343,98.99522569444441
RUR3201,RUR3201__S_Gngohar(Telenor_LNWR-07),6,2G/LTE,Gold,Macro,OMO,C4-NRW-05,Jazz Guest/TELENOR Host,TELENOR,Non DG Site,99.22416367980881,99.95256696428568,100,99.99987139917694,99.95874402628432,98.57555298353897,99.77411887694142
QSG1616,QSG1616__S_ChotaChowk_QilaSobaSingh_Warid_MDQH4295,6,2G/LTE,Elite,Macro,Standby,C4-NRW-05,Jazz Host/TELENOR Guest,DEODAR,DG site,99.17593837116682,99.75901124338621,99.85196385902029,99.57857510288058,99.86509358821185,99.19007201646076,98.40791143966541
HWY1262,HWY1262__S_NawanLHRRasoolNagar_Warid_MR2J3778_TL,8,2G/LTE,Diamond,Macro,Standby,C4-HFZ-06,JAZZ,DEODAR,DG site,98.85792357377504,99.9820446841931,99.14928222072875,99.34213445216044,98.68993615591386,99.11815200617276,96.91688601403806
RUR9502,RUR9502__S_Bhoman Batth_QD5087,8,2G/LTE,Gold,Macro,OMO,C4-HFZ-06,Jazz Guest/UFONE Host,UFONE,Non DG Site,99.44054752837509,98.07878120866381,96.66538325119453,87.09695698302416,95.38840819145734,96.05695408950606,97.13529999253281
PPW3212,PPW3212__S_KhanWali,8,2G/LTE,Bronze,Macro,CP Prime,C4-MBD-08,Jazz Host/TELENOR Guest,DEODAR,Non DG Site,98.74582306600946,99.06448929398137,99.76205477150536,94.22649016203691,99.20936939964152,99.75007233796292,96.86316924283146
RUR6241,RUR6241__S_Chokori_Khurd_Ktla_Qasim_MDLM3309,6,2G/LTE,Bronze,Macro,Standby,C4-GRT-04,JAZZ,DEODAR,DG site,94.46370345479849,99.2123429232802,99.00571858821169,98.37676826131677,99.8496926025487,99.7264660493827,97.70733771405804
RUR3173,RUR3173__S_Barak_Pind,6,2G/LTE,Diamond,Macro,Standby,C4-NRW-05,JAZZ,DEODAR,DG site,99.46334876543206,99.78397817460313,99.86653723616082,98.94724794238677,99.43053066507353,98.57538580246906,99.30707387495013
RUR0408,RUR0408__S_BOODA_DOHALA_RD_Warid_MDQH1593,6,2G/LTE,Diamond,Macro,Standby,C4-NRW-05,Jazz Host/CM-PAK Guest,DEODAR,DG site,95.62188868976492,99.9792286706349,98.43351752289918,98.313014403292,99.73507193349255,97.8537487139916,99.35530540621265
RUR5551,RUR5551__S_SouthKarnana,6,2G/LTE,Gold,Macro,B2S,C4-GRT-04,E.Co,E.CO,Non DG Site,98.47844484269206,98.48782655423271,95.67895011947421,92.76575360082283,95.22494772998789,95.74176954732484,93.23551373954584
RUR5642,RUR5642__S_DhummaMalka,6,2G/LTE,Gold,Macro,B2S,C4-GRT-04,Enfrashare,Enfrashare,Non DG Site,98.96567602548778,99.99596974206347,97.24854390680999,99.83198302469133,99.51902255077655,97.3532664609052,99.38508064516121
RUR5643,RUR5643__S_Ajnala,6,2G/LTE,Gold,Macro,B2S,C4-GRT-04,Enfrashare,Enfrashare,Non DG Site,98.34929435483863,99.99565972222221,98.28087664277176,97.60098379629623,100,100,100
RUR0905,RUR0905__S_ToteyWali,6,2G/LTE,Gold,Macro,CP Prime,C4-NRW-05,JAZZ,DEODAR,Non DG Site,91.87605784547982,99.53486689814804,99.14809214456385,97.14338991769525,97.76797715053743,95.09680426954705,97.13218090402215
RUR5689,RUR5689__S_GurahMahantan,6,2G/LTE,Diamond,Macro,B2S,C4-GRT-04,Enfrashare,Enfrashare,Non DG Site,99.48112679211464,99.99617642195764,100,99.3532021604938,100,98.69405864197526,99.69275811429706
KPD8889,KPD8889__S_JassarVillage_Warid_MDSK1972,9,2G/LTE,Platinum,Macro,Standby,C4-NRW-05,Jazz Host/CM-PAK Guest,DEODAR,DG site,98.14122029735815,99.42138815402699,99.87675063055887,98.85939643347038,97.9183260321252,98.50829475308633,97.20971475507757
RUR5763,RUR5763__S_MehmandChak,9,2G/LTE,Diamond,Macro,B2S,C4-MBD-08,ATL,ATL,Non DG Site,98.56176573078444,98.84651951058194,99.65028872958978,95.86104681069948,94.67468140183169,95.61593364197509,96.9062790388954
RUR0181,RUR0181__S_BankayCheema,8,2G/LTE,Diamond,Macro,CP Prime,C4-GUJ-02,Jazz Host/UFONE Guest,DEODAR,Non DG Site,100,99.97734271660049,100,100,99.20978942652326,99.92124807098763,98.78812910692947
RUR5649,RUR5649__S_Gidian,6,2G/LTE,Diamond,Macro,B2S,C4-GRT-04,Enfrashare,Enfrashare,Non DG Site,99.70544188902161,96.62597369194577,99.77596492101416,98.63316615226334,98.37471375945829,99.70927640603547,99.94723217841494
RUR5644,RUR5644__S_MariKhokhran,6,2G/LTE,Bronze,Macro,B2S,C4-GRT-04,Enfrashare,Enfrashare,Non DG Site,100,99.98976934523807,100,100,100,100,100
RUR0512,RUR0512__S_Surukhpur,6,2G/LTE,Gold,Macro,OMO,C4-GRT-04,Jazz Guest/TELENOR Host,TELENOR,Non DG Site,99.20474910394265,99.97261491402115,100,100,99.98123879928313,99.98861882716047,99.4768331839904
RUR6255,RUR6255__S_Sheikh_Chogany_MR1R2703,6,2G/LTE,Gold,Macro,CP Prime,C4-GRT-04,JAZZ,DEODAR,Non DG Site,100,99.97840195105819,100,99.5835262345679,100,98.07619598765426,99.92999551971327
RUR0874,RUR0874__S_Buchiana,6,2G/LTE,Gold,Macro,Standby,C4-GRT-04,JAZZ,DEODAR,DG site,99.220710125448,99.90265376984121,100,99.40036651234567,99.69655391278371,99.5287422839506,99.19908651931497
RUR5506,RUR5506__S_Jaidpur,6,2G/LTE,Diamond,Macro,B2S,C4-GRT-04,E.Co,E.CO,Non DG Site,92.97722520907968,98.35668816137544,99.53047839506168,99.26572788065818,98.93461270410161,98.62979681069933,98.9063620071681
RUR0179,RUR0179__H_Badomali,8,2G/LTE,Diamond,Macro,Standby,C4-NRW-05,JAZZ,DEODAR,DG site,99.83394937275983,99.69685226521156,99.55747834528071,99.4791666666666,99.30641894414572,99.68759645061719,99.59700754181596
RUR5507,RUR5507__S_AdalGarh,6,2G/LTE,Gold,Macro,B2S,C4-GUJ-02,E.Co,E.CO,Non DG Site,99.98049208482675,99.98263888888884,98.63189466348068,100,98.51008686778165,99.7532793209876,90.6872573178015
RUR5583,RUR5583__S_ChakPindi_Ufone1362,6,2G/LTE,Bronze,Macro,OMO,C4-GRT-04,Jazz Guest/UFONE Host,UFONE,Non DG Site,99.88777503982473,99.1435874118165,98.79209602747906,100,96.95275164277179,97.51321373456787,99.98746141975302
RUR9764,RUR9764__S_Kot_SanaullahWarid_MR2K3780,6,2G/LTE,Platinum,Macro,Standby,C4-WZD-07,JAZZ,DEODAR,DG site,99.96490442054957,99.98201884920631,100,99.7736625514403,99.789830993628,100,99.9985687972919
RUR5620,RUR5620__S_ChakSanatta,6,2G/LTE,Diamond,Macro,B2S,C4-WZD-07,Enfrashare,Enfrashare,Non DG Site,98.01601080246907,99.14186507936499,99.78955097570687,96.10349151234556,96.46570713859002,98.0786715534979,96.574167413381
RUR6245,RUR6245__S_Ugowal_MDGU7674,6,2G/LTE,Gold,Macro,OMO,C4-GRT-04,Jazz Guest/TELENOR Host,TELENOR,Non DG Site,95.1224922839504,95.63347387566121,98.52091422739932,92.58863811728366,99.98375896057345,100,98.51478494623652
KAH9488,KAH9488__S_Village_Kot_Hara_1M3549,6,2G/LTE,Gold,Macro,Standby,C4-HFZ-06,JAZZ,DEODAR,DG site,98.89392921146953,99.98170882936506,99.94829002389484,99.25987011316865,99.33019713261645,99.417277520576,99.12177045997603
RUR5792,RUR5792__S_Romal,6,2G/LTE,Diamond,Macro,B2S,C4-NRW-05,Enfrashare,Enfrashare,Non DG Site,96.74697580645149,98.0307953042327,98.76044155714851,98.04425154320975,99.53972520908003,99.9997427983539,98.77032307845477
RUR8997,RUR8997__H_MaddoKhalwal,6,2G/LTE,Diamond,Macro,Standby,C4-NRW-05,JAZZ,DEODAR,DG site,98.80335897052964,99.82973021384473,99.23271978295493,96.94145447530848,98.7129754082038,94.18296682098747,98.27670748705685
RUR4021,RUR4021__S_AwanSharif,6,2G/LTE,Diamond,Macro,Standby,C4-GRT-04,JAZZ,DEODAR,DG site,99.2773878268949,99.99614197530865,100,99.56275720164601,99.9230261847869,99.8737139917695,99.85644414575866
RUR9210,RUR9210__S_Dheenda,9,2G/3G/LTE,Diamond,Macro,Standby,C4-GRT-04,Jazz Host/CM-PAK Guest,DEODAR,DG site,99.16367980884094,99.90527171516753,99.52909282490369,99.88143004115221,99.69370187840167,99.80180469821669,99.96079749103941
GJR5729,GJR5729__S_Gillanwala,9,2G/3G/LTE,Platinum,Macro,B2S,C4-GRT-04,Enfrashare,Enfrashare,Non DG Site,98.23194610380982,99.9068562610229,100,99.9725008573388,99.98332337714055,99.9998070987654,96.76888357891933
RUR3204,RUR3204__S_Giddin_TPLBDR02,3,2G/LTE,Bronze,Macro,OMO,C4-NRW-05,Jazz Guest/TELENOR Host,TELENOR,Non DG Site,79.26523297490989,91.3926091269838,88.01977548785305,78.76028806584321,92.59632616487424,81.62609310699551,75.42419603743483
HWY1895,HWY1895__S_Chrirawla,8,2G/LTE,Gold,Macro,Standby,C4-GRT-04,JAZZ,DEODAR,DG site,98.91369380973704,99.44100839120368,100,99.63756269290118,100,100,99.57607620221026
GJR6258,GJR6258__S_Star_Colony_Bhimber_Road_MDGU4249,9,2G/3G/LTE,Platinum,Macro,Standby,C4-GRT-04,Jazz Host/CM-PAK Guest,DEODAR,DG site,96.68050162617776,99.39004170340954,99.15434587813594,95.71924296982137,99.05806119739792,99.2068115569272,100
RUR5671,RUR5671__S_Sohal_TelenorISHL01,6,2G/LTE,Gold,Macro,OMO,C4-GRT-04,Jazz Guest/TELENOR Host,TELENOR,Non DG Site,94.81988625049756,96.59050512566127,96.0589033253683,95.97505144032888,97.36860936877721,97.92525077160478,95.79123730585398
JPS8768,JPS8768__H_PeerShah,12,2G/3G/LTE,Platinum,Macro,CP Prime,C4-GRT-04,Jazz Host/CM-PAK Guest,DEODAR,Non DG Site,96.9829157954994,99.67623594576699,99.50481941955384,99.31458976337429,98.8598292512942,99.55020254629616,99.34682708582224
RUR5603,RUR5603__S_Hanj_CMPak40819,6,2G/LTE,Gold,Macro,OMO,C4-GRT-04,Jazz Guest/CM-PAK Host,CM-PAK ,Non DG Site,99.98963933691755,99.86586474867723,100,99.99980709876543,99.929528823178,98.3358410493827,99.99757317801672
JPJ4875,JPJ4875__P_KashmirNagar,12,2G/3G/LTE,Diamond,Macro,Standby,C4-GRT-04,JAZZ,DEODAR,DG site,98.50794006371949,99.97514674272483,99.88108572281955,99.6488715277777,99.45561404818787,99.44462127057609,99.9771785394265
KRW6447,KRW6447__S_PoliceStation_CMPak42464,12,2G/LTE,Diamond,Macro,OMO,C4-GRT-04,Jazz Guest/CM-PAK Host,CM-PAK ,Non DG Site,99.51846251493424,99.98861538249558,99.99884881521302,96.52874228395054,100,100,99.99738649940261
GJR6266,GJR6266__S_Miana_Pura_MDGU4257,12,2G/3G/LTE,Platinum,Macro,Standby,C4-GRT-04,JAZZ,DEODAR,DG site,99.34981394364783,98.98241154100518,98.71821796594965,98.51549639917685,99.03678502090787,99.31592399691354,99.14344073576251
LLM9854,LLM9854__P_GtRoadLalamusa,9,2G/3G/LTE,Diamond,Macro,Standby,C4-GRT-04,Jazz Host/UFONE Guest,DEODAR,DG site,99.7806733705031,99.24571024397407,99.8438329682729,99.4850823045267,100,100,99.52199903756801
RUR4503,RUR4503__S_RajaThanaNarrowal,12,2G/3G/LTE,Platinum,Macro,Standby,C4-NRW-05,JAZZ,DEODAR,DG site,98.29389747610504,99.64261601631388,99.1223149392671,97.00720164609024,98.33692689665457,94.55920460390927,98.52063420947806
JPJ6301,JPJ6301__S_Qadir_Colony_MDJJ1558,16,2G/3G/LTE,Hub,Macro,Standby,C4-GRT-04,JAZZ,DEODAR,DG site,99.64476226478487,99.98949807787692,100,100,100,99.55989583333333,99.90792077359616
RUR9496,RUR9496__S_Naiabadi_Jhang_Road_HF4123,12,2G/3G/LTE,Platinum,Macro,Standby,C4-HFZ-06,JAZZ,DEODAR,DG site,99.82589107925129,99.82006792879186,99.5498245221026,98.95280349794227,99.78410618279568,99.75368119855958,98.91763739545983
GUJ0233,GUJ0233__S_C2WaterTank,9,2G/3G/LTE,Gold,Macro,OMO,C4-GUJ-02,Jazz Guest/CM-PAK Host,CM-PAK ,Non DG Site,99.49389353511212,99.88281249999997,99.65578537767156,99.63899605624138,99.81649492234168,99.11458333333327,99.30962100092917
GJR6291,GJR6291__S_Boraywala_chowk_MDGU4203,9,2G/3G/LTE,Diamond,Macro,CP Prime,C4-GRT-04,Jazz Host/CM-PAK Guest,DEODAR,Non DG Site,99.91344334926322,99.87335115373308,99.94113401035442,98.89936985596697,100,99.8633616255144,98.52749983406332
KNJ4254,KNJ4254__H_CircularRdKunjah,9,2G/3G/LTE,Platinum,Macro,Standby,C4-GRT-04,JAZZ,DEODAR,DG site,96.53634425195766,99.50800999412093,99.04580263507215,96.01671810699546,98.47514685384287,96.61040380658399,96.04801373954561
LLM3835,LLM3835__S_Muhallaqasba,12,2G/3G/LTE,Diamond,Macro,CP Prime,C4-GRT-04,JAZZ,DEODAR,Non DG Site,96.1230740989642,99.86930941358023,99.97381832437273,99.44757908950606,100,99.94592335390944,98.63453927718032
JPS8766,JPS8766__P_SiyamCollege,13,2G/3G/LTE,Platinum,Macro,Standby,C4-GRT-04,Jazz Host/CM-PAK Guest,DEODAR,DG site,98.85601909291414,99.15593521062262,98.690463881996,99.23913817663804,99.5582465995772,99.96094491927823,98.90280362558578
KRW8773,KRW8773__P_KarianwalaCity,12,2G/3G/LTE,Platinum,Macro,Standby,C4-GRT-04,JAZZ,DEODAR,DG site,99.37409772003178,99.93923611111107,99.42585436579053,99.42457561728389,99.86447132616486,99.56632587448553,99.55072680207083
RUR0363,RUR0363__S_MansoorWaliPI,9,2G/3G/LTE,Diamond,Macro,CP Prime,C4-WZD-07,Jazz Host/CM-PAK+TELENOR Guest,DEODAR,Non DG Site,91.87599561927502,96.90765542328039,99.88457039028263,96.88138717421113,99.09993943316069,94.21759259259242,98.19718239745114
GJR9887,GJR9887__S_MohallaNoorPur,12,2G/3G/LTE,Platinum,Macro,Standby,C4-GRT-04,Jazz Host/CM-PAK Guest,DEODAR,DG site,99.46914824770992,99.95973186728388,99.86137557248105,99.2697241512345,99.40125945838307,99.47244727366234,99.47437524890474
RUR1583,RUR1583__S_HassanPathan,9,2G/3G/LTE,Diamond,Macro,CP Prime,C4-GRT-04,JAZZ,DEODAR,Non DG Site,94.59720977698116,95.64750514403275,99.0184438470728,98.07111625514396,99.30812757201643,99.25304355281206,95.75405714854632
GHK0384,Ghk0384__P_Gakkarmandi,12,2G/3G/LTE,Elite,Macro,Standby,C4-GUJ-02,JAZZ,DEODAR,DG site,99.8586376194742,99.86360849316573,99.87974785941834,93.7920203189297,98.39120370370328,91.51957947530819,94.10722508462725
RUR1581,RUR1581__S_PindiAwan,12,2G/3G/LTE,Diamond,Macro,CP Prime,C4-GRT-04,JAZZ,DEODAR,Non DG Site,99.33596861310228,99.99634865520282,100,99.8956886574074,99.18051199721225,99.64485275205757,99.6277006172839
BGL2206,BGL2206__H_DhalKakka,9,2G/3G/LTE,Diamond,Macro,Standby,C4-GRT-04,JAZZ,DEODAR,DG site,97.41047723350579,99.41309799382707,99.52826314217435,99.379350994513,98.97586038099018,99.5186471193415,99.79793077127306
RUR6275,RUR6275__S_JamiaMasjidAsharfia,9,2G/LTE,Diamond,Macro,B2S,C4-NRW-05,E.Co,E.CO,Non DG Site,93.7671122062922,97.12944591416803,99.48613600159297,97.13250171467753,97.55365973051897,95.36887002743467,96.3177021107126
SCK9899,SCK9899__S_Naiwala,9,2G/3G/LTE,Diamond,Macro,Standby,C4-HFZ-06,JAZZ,DEODAR,DG site,99.35751443647949,99.86414241622572,100,97.9174382716049,99.831740342493,96.59610768175577,97.85124618345932
GFG9668,GFG9668__S_LubbanPulyStop_Warid_MR485355,12,2G/LTE,Platinum,Macro,Standby,C4-NRW-05,JAZZ,DEODAR,DG site,98.87880824372745,99.01801215277769,99.56690561529268,98.46107011959859,98.43073290023872,97.98447145061711,96.33831065188143
BGL2204,BGL2204__S_MairShareef,9,2G/3G/LTE,Diamond,Macro,Standby,C4-GRT-04,Jazz Host/TELENOR Guest,DEODAR,DG site,96.35870917960928,99.34581220605514,98.73757550112816,96.1113897462274,97.50970728793268,97.1174982853221,95.37984949555255
SKL9912,SKL9912__S_ChakSada,16,2G/3G/LTE,Platinum,Macro,Standby,C4-GRT-04,JAZZ,DEODAR,DG site,97.49397961469516,98.73845176091251,99.09450371490435,98.20317322530848,99.14658704823762,98.52399209104927,98.52451556899624
GHK6955,GHK6955__P_Suditown,12,2G/3G/LTE,Hub,Macro,Standby,C4-GUJ-02,JAZZ,DEODAR,DG site,99.70857912684183,99.97824694113741,99.6197667761846,97.48398919753063,99.99989110414175,99.510497042181,99.15478146156904
RUR6448,RUR6448__S_Nonar,9,2G/LTE,Platinum,Macro,B2S,C4-NRW-05,Enfrashare,Enfrashare,Non DG Site,91.24230469268532,98.68723820546732,98.24758562325752,98.16949588477361,91.1055522368245,96.3466435185184,96.50888175361736
RUR0800,RUR0800__S_NoorJmalDinga,9,2G/3G/LTE,Diamond,Macro,CP Prime,C4-MBD-08,JAZZ,DEODAR,Non DG Site,99.87579649542009,99.97671406525572,100,99.06076388888883,99.989234866587,100,99.95973964555952
RUR5422,RUR5422__S_SheikhPur,9,2G/LTE,Platinum,Macro,B2S,C4-GRT-04,E.Co,E.CO,Non DG Site,96.65772683525809,99.0553810258671,99.51695871498733,94.48846879286683,98.837116686579,98.69067215363503,98.42372726669316
RUR0398,RUR0398__S_Village_Nunanwali_MR2X2707,12,2G/3G/LTE,Platinum,Macro,CP Prime,C4-MBD-08,JAZZ,DEODAR,Non DG Site,98.39592667264034,98.97451636904755,100,100,98.98751120071681,99.77197145061723,99.62046370967735
RUR1575,RUR1575__P_haqiqa,12,2G/3G/LTE,Elite,Macro,Standby,C4-MBD-08,JAZZ,DEODAR,DG site,98.9486416019514,99.56888296406512,99.95096575069691,99.74233217592591,98.98893306949404,95.18962191357996,99.28089842194342
RUR5385,RUR5385__S_NatKalan,9,2G/LTE,Gold,Macro,B2S,C4-GUJ-02,Enfrashare,Enfrashare,Non DG Site,99.64549731182788,99.92371215461492,99.74391842559398,99.42901234567901,99.0039658834461,98.2682827503428,96.01932745917945
RUR5511,RUR5511__S_Marjal_NEW,9,2G/LTE,Platinum,Macro,B2S,C4-NRW-05,Enfrashare,Enfrashare,Non DG Site,93.79179526748955,96.8337099500293,97.68282058940652,96.89585476680374,97.06862720695598,97.37562157064461,97.46494590468592
GJR6287,GJR6287__S_Badshahi_Road_MDGU4256,9,2G/3G/LTE,Gold,Macro,Standby,C4-GRT-04,Jazz Host/CM-PAK Guest,DEODAR,DG site,98.75715601354031,99.12241420487935,99.97123075136064,98.1435828189299,99.88631272401432,99.52070473251023,99.79940345811757
RUR3844,RUR3844__H_LLMNadirHospitalJor,9,2G/3G/LTE,Diamond,Macro,Standby,C4-GRT-04,JAZZ,DEODAR,DG site,98.82898579583153,99.92097938712517,100,99.8943544238683,100,99.06886574074069,99.09761632151852
JPJ6290,JPJ6290__S_Mohallah_Shershah_Circular_Road_MDJJ1559,9,2G/LTE,Platinum,Macro,Standby,C4-GRT-04,Jazz Host/CM-PAK Guest,DEODAR,DG site,99.71178896190092,99.84976668136389,100,100,99.96023745519713,97.99841392318237,98.24349943581561
BBK9608,BBK9608__H_KhanPuraNorowal,9,2G/3G/LTE,Diamond,Macro,Standby,C4-NRW-05,JAZZ,DEODAR,DG site,99.74721641444305,99.96148864638447,100,99.28684413580247,99.82340203106327,99.99995713305894,99.94804111907604
NRW5589,NRW5589__S_BijliGharChowk_CMPak4799,9,2G/LTE,Platinum,Macro,OMO,C4-NRW-05,Jazz Guest/CM-PAK Host,CM-PAK ,Non DG Site,95.87639386698514,99.15633267195764,98.35451098499925,94.3440715020573,90.78274342891244,91.69322273662516,98.22194842692139
